CPDB Officer ID,Self Evaluation,K Means Evalutions,D-Tree Regression Prediction,D Tree Result
759,1,0,-0.003424508,0
761,1,0,0.005284365,0
768,1,1,0.996567469,1
772,1,1,0.999006104,1
775,1,1,1.002363434,1
789,1,1,0.998091318,1
791,1,1,0.997739152,1
797,0,0,-0.001230334,0
810,1,1,1.001100485,1
819,1,1,0.998320685,1
820,1,1,0.998320685,1
825,1,1,1.000666257,1
827,1,1,0.998363008,1
835,1,1,0.999226189,1
840,1,1,0.998810041,1
843,1,1,0.998226744,1
870,1,1,1.000115368,1
874,1,1,0.997550162,1
878,1,1,0.999006104,1
879,1,1,0.998363008,1
882,1,1,1.000415065,1
887,1,1,1.000261224,1
896,1,1,0.998536025,1
906,1,1,0.999006104,1
922,1,1,0.998940178,1
940,1,1,0.998055086,1
942,1,1,0.998363008,1
952,1,1,0.998159414,1
959,1,1,1.001106619,1
961,1,1,1.000457388,1
966,1,1,0.999703889,1
972,1,1,0.998245268,1
977,1,1,1.030287072,1
990,1,1,1.001479103,1
1018,0,0,0.003431379,0
1021,1,1,1.036111148,1
1022,1,1,1.001950884,1
1026,0,0,0.047911236,0
1042,1,0,-0.012410082,0
1043,1,1,0.995933972,1
1049,1,1,1.000457388,1
1052,1,1,0.997585585,1
1062,1,0,0.008986578,0
1063,0,0,0.00804811,0
1066,1,1,0.997802697,1
1067,1,1,1.00565439,1
1070,1,1,0.998320685,1
1087,1,1,0.998243511,1
1100,1,1,0.998867487,1
1126,1,1,0.998363008,1
1128,1,1,0.998363008,1
1136,1,1,0.99687539,1
1145,1,1,1.000304012,1
1148,1,1,0.999121914,1
1153,1,1,0.995937658,1
1166,1,1,0.998940178,1
1171,1,1,0.998450358,1
1178,1,1,0.998919397,1
1189,1,1,0.533100532,0
1207,1,1,1.001479103,1
1211,1,1,0.999148283,1
1216,1,1,1.001518602,1
1219,1,1,0.992932944,1
1227,1,1,0.99857581,1
1231,1,1,0.998363008,1
1233,1,1,0.999306369,1
1242,1,1,1.000985723,1
1245,1,1,0.999107529,1
1246,1,1,0.999991485,1
1248,1,1,0.99896977,1
1251,1,0,-0.001104321,0
1252,1,1,0.998580674,1
1253,1,1,1.003164455,1
1260,1,0,-0.010273242,0
1262,0,0,0.005284365,0
1262,1,0,0.005284365,0
1263,1,1,0.996644039,1
1263,1,1,0.996644039,1
1270,1,1,0.998005999,1
1272,1,1,0.998207298,1
1277,1,0,-0.002271623,0
1283,1,1,0.992671969,1
1286,1,1,0.999538994,1
1299,1,1,0.998963028,1
1304,1,0,-0.000021,0
1311,1,1,0.99878327,1
1316,1,1,0.996384875,1
1318,1,1,0.998925002,1
1344,0,0,0.002025978,0
1345,1,0,-0.009471462,0
1346,1,1,0.999519653,1
1349,1,1,0.998363008,1
1350,1,0,0.007518207,0
1351,1,1,0.999021862,1
1352,1,0,0.051996626,0
1353,1,1,0.999690132,1
1378,1,1,1.003913632,1
1410,1,1,0.998706096,1
1415,1,1,1.000786482,1
1419,1,1,0.998320685,1
1420,1,0,-0.00233233,0
1421,1,1,0.998196819,1
1423,1,1,0.999073518,1
1425,1,1,0.998912605,1
1436,1,1,0.497169698,0
1440,1,1,1.021701255,1
1466,1,1,0.99878327,1
1475,1,1,1.000723209,1
1480,1,1,0.99878327,1
1488,1,1,0.998387001,1
1490,1,1,1.03236358,1
1511,1,1,1.133617298,1
1512,1,0,-0.003125194,0
1519,1,0,0.011906706,0
1524,1,1,1.002043554,1
1537,1,1,0.998925002,1
1550,1,1,0.998851383,1
1559,1,1,1.030596242,1
1566,1,1,1.001479103,1
1570,1,1,0.998363008,1
1576,1,1,0.999361975,1
1596,1,1,0.999459869,1
1597,1,1,0.998492343,1
1619,0,0,-0.009415264,0
1638,1,1,1.000030588,1
1642,1,1,1.000119491,1
1656,1,1,0.998363008,1
1658,1,1,0.995883398,1
1663,1,1,1.001694137,1
1669,1,1,0.998222959,1
1670,1,1,0.998935481,1
1683,1,1,0.998055086,1
1684,1,1,1.00161523,1
1692,0,0,0.003431379,0
1698,1,1,0.998222959,1
1715,0,0,-0.000294508,0
1718,1,0,-0.00794038,0
1722,1,1,0.9990177,1
1723,1,1,0.998848443,1
1749,1,1,1.002277149,1
1764,1,1,0.998027376,1
1776,1,1,0.99782669,1
1802,1,1,0.999329956,1
1814,1,1,0.998536025,1
