"officer_id","row_number","incident_date","incident_date-2","allegation_interval","goodorbad"
2563,"19317","2015-06-03 19:00:00-05","2016-03-25 19:00:00-05","296 days","good"
2571,"19343","2015-03-31 19:00:00-05","2015-07-17 19:00:00-05","108 days","good"
2575,"19403","2015-02-03 18:00:00-06","2015-02-12 18:00:00-06","9 days","good"
2575,"19404","2015-02-12 18:00:00-06","2015-05-02 19:00:00-05","79 days","good"
2575,"19405","2015-05-02 19:00:00-05","2015-07-14 19:00:00-05","73 days","good"
2610,"19685","2015-04-03 19:00:00-05","2017-02-28 18:00:00-06","697 days","good"
2643,"19910","2015-10-31 19:00:00-05","2016-05-31 19:00:00-05","213 days","good"
2681,"20275","2015-04-23 19:00:00-05","2015-09-03 19:00:00-05","133 days","good"
2681,"20276","2015-09-03 19:00:00-05","2015-12-04 18:00:00-06","92 days","good"
2681,"20277","2015-12-04 18:00:00-06","2016-05-06 19:00:00-05","154 days","good"
2746,"20777","2015-05-09 19:00:00-05","2016-01-16 18:00:00-06","252 days","good"
2798,"20978","2015-02-13 18:00:00-06","2015-03-27 19:00:00-05","42 days","good"
2798,"20979","2015-03-27 19:00:00-05","2016-03-19 19:00:00-05","358 days","good"
2817,"21117","2015-07-30 19:00:00-05","2017-08-09 19:00:00-05","741 days","good"
2824,"21198","2015-09-06 19:00:00-05","2017-06-15 19:00:00-05","648 days","good"
2833,"21311","2015-11-04 18:00:00-06","2016-05-05 19:00:00-05","183 days","good"
2851,"21448","2015-01-25 18:00:00-06","2016-12-06 18:00:00-06","681 days","good"
2883,"21600","2015-06-26 19:00:00-05","2017-06-30 19:00:00-05","735 days","good"
2919,"21841","2015-03-05 18:00:00-06","2015-07-17 19:00:00-05","134 days","good"
3003,"22433","2015-05-03 19:00:00-05","2015-05-04 19:00:00-05","1 day","good"
3003,"22434","2015-05-04 19:00:00-05","2015-11-30 18:00:00-06","210 days","good"
3006,"22482","2015-03-09 19:00:00-05","2015-08-01 19:00:00-05","145 days","good"
3006,"22483","2015-08-01 19:00:00-05","2016-01-09 18:00:00-06","161 days","good"
3017,"22568","2015-03-08 19:00:00-05","2015-06-26 19:00:00-05","110 days","good"
3017,"22569","2015-06-26 19:00:00-05","2017-05-02 19:00:00-05","676 days","good"
3054,"22894","2015-04-14 19:00:00-05","2015-04-23 19:00:00-05","9 days","good"
3055,"22957","2015-01-24 18:00:00-06","2016-05-09 19:00:00-05","471 days","bad"
3064,"23047","2015-09-23 19:00:00-05","2016-01-18 18:00:00-06","117 days","good"
3069,"23102","2015-11-06 18:00:00-06","2016-01-14 18:00:00-06","69 days","good"
3073,"23130","2015-01-02 18:00:00-06","2015-08-01 19:00:00-05","211 days","good"
3073,"23131","2015-08-01 19:00:00-05","2015-11-24 18:00:00-06","115 days","good"
3073,"23132","2015-11-24 18:00:00-06","2016-02-25 18:00:00-06","93 days","good"
3082,"23167","2015-01-09 18:00:00-06","2015-01-22 18:00:00-06","13 days","good"
3114,"23448","2015-09-03 19:00:00-05","2015-11-28 18:00:00-06","86 days","good"
3150,"23702","2015-02-12 18:00:00-06","2015-08-26 19:00:00-05","195 days","good"
3160,"23745","2015-04-05 19:00:00-05","2015-04-07 19:00:00-05","2 days","good"
3168,"23792","2015-08-29 19:00:00-05","2015-10-10 19:00:00-05","42 days","bad"
3168,"23793","2015-10-10 19:00:00-05","2015-12-02 18:00:00-06","53 days","bad"
3194,"23954","2015-10-09 19:00:00-05","2015-11-09 18:00:00-06","31 days","good"
3201,"23988","2015-02-20 18:00:00-06","2016-05-04 19:00:00-05","439 days","good"
3287,"24661","2015-08-15 19:00:00-05","2015-08-15 19:00:00-05","00:00:00","good"
3308,"24790","2015-05-19 19:00:00-05","2015-09-27 19:00:00-05","131 days","good"
3308,"24791","2015-09-27 19:00:00-05","2016-04-27 19:00:00-05","213 days","good"
3310,"24807","2015-08-19 19:00:00-05","2016-03-18 19:00:00-05","212 days","good"
3358,"25151","2015-02-17 18:00:00-06","2015-05-05 19:00:00-05","77 days","bad"
3377,"25258","2015-01-26 18:00:00-06","2015-07-30 19:00:00-05","185 days","good"
3377,"25259","2015-07-30 19:00:00-05","2016-01-25 18:00:00-06","179 days","good"
3383,"25322","2015-08-07 19:00:00-05","2015-12-04 18:00:00-06","119 days","good"
3383,"25323","2015-12-04 18:00:00-06","2015-12-27 18:00:00-06","23 days","good"
3383,"25324","2015-12-27 18:00:00-06","2016-03-02 18:00:00-06","66 days","good"
3388,"25374","2015-01-04 18:00:00-06","2015-07-25 19:00:00-05","202 days","bad"
3439,"25806","2015-10-26 19:00:00-05","2016-01-07 18:00:00-06","73 days","good"
3497,"26381","2015-03-08 19:00:00-05","2015-10-15 19:00:00-05","221 days","good"
3518,"26543","2015-08-15 19:00:00-05","2015-09-16 19:00:00-05","32 days","good"
3549,"26693","2015-03-08 19:00:00-05","2015-03-09 19:00:00-05","1 day","bad"
3549,"26694","2015-03-09 19:00:00-05","2015-04-04 19:00:00-05","26 days","bad"
3549,"26695","2015-04-04 19:00:00-05","2016-01-07 18:00:00-06","278 days","bad"
3560,"26812","2015-03-03 18:00:00-06","2016-01-27 18:00:00-06","330 days","good"
